LISTING_URL,BRAND,PRICE,DEPRE_VALUE_PER_YEAR,REG_DATE,MILEAGE_KM,MANUFACTURED_YEAR,ROAD_TAX_PER_YEAR,TRANSMISSION,DEREG_VALUE_FROM_SCRAPE_DATE,SCRAPE_DATE,OMV,ARF,COE_FROM_SCRAPE_DATE,DAYS_OF_COE_LEFT,ENGINE_CAPACITY_CC,CURB_WEIGHT_KG,NO_OF_OWNERS,VEHICLE_TYPE
https://www.sgcarmart.com/used_cars/info.php?ID=859583&DL=3318,Honda,58800.0,5880.0,24-Oct-2009,81000.0,2008,978.0,Auto,,23/10/2019,28040.0,28040.0,,0.0,1799,1219.0,1.0,Mid-Sized Sedan
https://www.sgcarmart.com/used_cars/info.php?ID=856599&DL=3626,Honda,62800.0,6270.0,10-Nov-2009,106087.0,2009,1628.0,Auto,,23/10/2019,33532.0,33532.0,,0.0,2354,1680.0,3.0,MPV
https://www.sgcarmart.com/used_cars/info.php?ID=795392&DL=1000,Austin,30000.0,16950.0,28-Sep-1972,,1972,,Manual,834.0,23/10/2019,,,4711.0,642.0,998,,,Others
https://www.sgcarmart.com/used_cars/info.php?ID=856794&DL=2585,Audi,70800.0,16580.0,05-Dec-2011,140800.0,2011,2380.0,Auto,58899.0,23/10/2019,71379.0,71379.0,75889.0,761.0,2995,2250.0,3.0,SUV
https://www.sgcarmart.com/used_cars/info.php?ID=827943&DL=2469,Toyota,65800.0,6850.0,26-Jun-2009,117000.0,2009,974.0,Auto,38024.0,23/10/2019,23465.0,23465.0,39563.0,3503.0,1797,1350.0,2.0,MPV
https://www.sgcarmart.com/used_cars/info.php?ID=862975&DL=2387,Mercedes-Benz,45000.0,18550.0,21-Sep-2010,126000.0,2010,974.0,Auto,31818.0,23/10/2019,56154.0,56154.0,41006.0,8.0,1796,1650.0,4.0,Luxury Sedan
https://www.sgcarmart.com/used_cars/info.php?ID=857596&DL=3492,Honda,37800.0,7550.0,20-Nov-2009,117979.0,2008,978.0,Auto,,23/10/2019,26619.0,26619.0,,1825.0,1799,1219.0,3.0,Mid-Sized Sedan
https://www.sgcarmart.com/used_cars/info.php?ID=858276&DL=1000,BMW,70800.0,12680.0,23-Apr-2014,41000.0,2013,742.0,Auto,54685.0,23/10/2019,32459.0,27443.0,78810.0,1610.0,1598,1405.0,2.0,Luxury Sedan
https://www.sgcarmart.com/used_cars/info.php?ID=854726&DL=1135,Kia,27500.0,5490.0,24-Sep-2009,,2009,738.0,Auto,,23/10/2019,14185.0,14185.0,,1825.0,1591,1251.0,2.0,Mid-Sized Sedan
https://www.sgcarmart.com/used_cars/info.php?ID=851580&DL=3597,Audi,89500.0,11910.0,25-Nov-2015,57784.0,2015,624.0,Auto,62640.0,23/10/2019,29913.0,33879.0,61103.0,2221.0,1395,1480.0,2.0,SUV
https://www.sgcarmart.com/used_cars/info.php?ID=857573&DL=3587,Subaru,76888.0,14000.0,30-May-2014,125220.0,2013,1210.0,Auto,48753.0,23/10/2019,23476.0,24867.0,68103.0,1676.0,1998,1253.0,2.0,Sports Car
